chr1	22160000	22165000	chr1	22155000	22160000	218.000000	0.000000
chr20	47520000	47525000	chr20	47270000	47275000	63.000000	0.000000
chr9	125110000	125115000	chr9	124885000	124890000	65.000000	0.000000
chr16	22705000	22710000	chr16	21585000	21590000	47.000000	0.000000
chr17	41750000	41755000	chr17	41650000	41655000	67.000000	0.000000
chr4	191025000	191030000	chr4	25000	30000	43.000000	0.000000
chr16	22705000	22710000	chr16	21590000	21595000	46.000000	0.000000
chr11	45125000	45130000	chr11	44955000	44960000	72.000000	0.000000
chr7	55320000	55325000	chr7	54840000	54845000	49.000000	0.000000
chr5	172120000	172125000	chr5	171905000	171910000	66.000000	0.000000
chr11	65275000	65280000	chr11	65180000	65185000	77.000000	0.000000
chr1	22180000	22185000	chr1	22175000	22180000	193.000000	0.000000
chr6	126085000	126090000	chr6	125630000	125635000	45.000000	0.000000
chr11	34910000	34915000	chr11	34605000	34610000	47.000000	0.000000
chr2	42310000	42315000	chr2	42095000	42100000	59.000000	0.000000
chr17	78955000	78960000	chr17	78400000	78405000	45.000000	0.000000
chr17	46095000	46100000	chr17	46055000	46060000	92.000000	0.000000
chr11	47175000	47180000	chr11	46905000	46910000	52.000000	0.000000
chr14	24905000	24910000	chr14	24800000	24805000	76.000000	0.000000
chr12	53370000	53375000	chr12	53280000	53285000	68.000000	0.000000
chr16	55735000	55740000	chr16	55495000	55500000	46.000000	0.000000
chr19	46990000	46995000	chr19	46900000	46905000	68.000000	0.000000
chr19	16490000	16495000	chr19	16355000	16360000	53.000000	0.000000
chr9	132370000	132375000	chr9	131900000	131905000	39.000000	0.000000
chr14	73370000	73375000	chr14	72980000	72985000	40.000000	0.000000
chr17	71365000	71370000	chr17	71250000	71255000	63.000000	0.000000
chr17	6325000	6330000	chr17	5490000	5495000	37.000000	0.000000
chr8	134460000	134465000	chr8	134220000	134225000	48.000000	0.000000
chr17	39955000	39960000	chr17	39895000	39900000	74.000000	0.000000
chr20	48685000	48690000	chr20	48595000	48600000	58.000000	0.000000
chr17	47770000	47775000	chr17	47645000	47650000	57.000000	0.000000
chr11	65425000	65430000	chr11	65420000	65425000	219.000000	0.000000
chr3	52175000	52180000	chr3	52035000	52040000	60.000000	0.000000
chr19	48205000	48210000	chr19	47940000	47945000	45.000000	0.000000
chr14	23520000	23525000	chr14	23460000	23465000	82.000000	0.000000
chr9	68415000	68420000	chr9	66455000	66460000	36.000000	0.000000
chr11	48130000	48135000	chr11	47955000	47960000	57.000000	0.000000
chr7	101910000	101915000	chr7	101185000	101190000	37.000000	0.000000
chr16	55735000	55740000	chr16	55500000	55505000	51.000000	0.000000
chr17	7035000	7040000	chr17	6950000	6955000	65.000000	0.000000
chr12	54135000	54140000	chr12	54095000	54100000	95.000000	0.000000
chr20	49080000	49085000	chr20	48800000	48805000	43.000000	0.000000
chr14	73410000	73415000	chr14	72980000	72985000	38.000000	0.000000
chr19	10495000	10500000	chr19	10365000	10370000	58.000000	0.000000
chr1	155140000	155145000	chr1	155060000	155065000	66.000000	0.000000
chr17	47765000	47770000	chr17	47650000	47655000	65.000000	0.000000
chr1	22165000	22170000	chr1	22160000	22165000	170.000000	0.000000
chr6	11495000	11500000	chr6	11140000	11145000	42.000000	0.000000
chr19	16495000	16500000	chr19	16355000	16360000	53.000000	0.000000
chr11	4090000	4095000	chr11	3870000	3875000	48.000000	0.000000
chr19	980000	985000	chr19	920000	925000	71.000000	0.000000
chr14	75550000	75555000	chr14	75380000	75385000	51.000000	0.000000
chr17	78945000	78950000	chr17	78400000	78405000	40.000000	0.000000
chr10	75400000	75405000	chr10	75285000	75290000	58.000000	0.000000
chr6	126090000	126095000	chr6	125630000	125635000	34.000000	0.000000
chr17	47770000	47775000	chr17	47650000	47655000	60.000000	0.000000
chr4	191030000	191035000	chr4	35000	40000	34.000000	0.000000
chr22	39705000	39710000	chr22	39565000	39570000	53.000000	0.000000
chr14	24900000	24905000	chr14	24800000	24805000	72.000000	0.000000
chr18	56725000	56730000	chr18	56440000	56445000	45.000000	0.000000
chr18	56430000	56435000	chr18	56195000	56200000	46.000000	0.000000
chr3	183100000	183105000	chr3	182900000	182905000	48.000000	0.000000
chr15	75495000	75500000	chr15	75320000	75325000	45.000000	0.000000
chr22	29435000	29440000	chr22	29250000	29255000	49.000000	0.000000
chr3	194030000	194035000	chr3	193495000	193500000	38.000000	0.000000
chr1	22170000	22175000	chr1	22165000	22170000	144.000000	0.000000
chr17	45965000	45970000	chr17	45920000	45925000	73.000000	0.000000
chr12	53370000	53375000	chr12	53275000	53280000	61.000000	0.000000
chr19	10495000	10500000	chr19	10370000	10375000	54.000000	0.000000
chr7	98905000	98910000	chr7	98635000	98640000	43.000000	0.000000
chr16	57450000	57455000	chr16	57335000	57340000	59.000000	0.000000
chr12	50100000	50105000	chr12	50035000	50040000	65.000000	0.000000
chr14	77530000	77535000	chr14	77380000	77385000	49.000000	0.000000
chr21	35720000	35725000	chr21	35295000	35300000	33.000000	0.000000
chr9	132370000	132375000	chr9	131895000	131900000	37.000000	0.000000
chr4	191030000	191035000	chr4	25000	30000	33.000000	0.000000
chr5	172120000	172125000	chr5	171900000	171905000	54.000000	0.000000
chr11	1960000	1965000	chr11	1915000	1920000	71.000000	0.000000
chr19	17495000	17500000	chr19	17455000	17460000	80.000000	0.000000
chr3	58285000	58290000	chr3	58170000	58175000	52.000000	0.000000
chr9	132375000	132380000	chr9	131895000	131900000	38.000000	0.000000
chr2	20835000	20840000	chr2	20640000	20645000	46.000000	0.000000
chr1	41415000	41420000	chr1	41310000	41315000	61.000000	0.000000
chr22	29435000	29440000	chr22	29245000	29250000	48.000000	0.000000
chr10	125725000	125730000	chr10	125340000	125345000	38.000000	0.000000
chr16	86550000	86555000	chr16	86105000	86110000	36.000000	0.000000
chr1	24715000	24720000	chr1	24525000	24530000	46.000000	0.000000
chr20	39965000	39970000	chr20	39800000	39805000	55.000000	0.000000
chr8	134215000	134220000	chr8	133885000	133890000	39.000000	0.000000
chr15	101800000	101805000	chr15	101555000	101560000	49.000000	0.000000
chr11	126060000	126065000	chr11	125790000	125795000	40.000000	0.000000
chr1	234910000	234915000	chr1	17055000	17060000	32.000000	0.000000
chr16	86020000	86025000	chr16	85850000	85855000	48.000000	0.000000
chr19	48210000	48215000	chr19	47935000	47940000	41.000000	0.000000
chr19	10500000	10505000	chr19	10375000	10380000	50.000000	0.000000
chr3	134190000	134195000	chr3	134025000	134030000	53.000000	0.000000
chr15	75060000	75065000	chr15	74925000	74930000	47.000000	0.000000
chr9	139575000	139580000	chr9	139570000	139575000	131.000000	0.000000
chr14	70190000	70195000	chr14	70070000	70075000	48.000000	0.000000
chr19	48210000	48215000	chr19	47940000	47945000	41.000000	0.000000
chr15	90415000	90420000	chr15	90300000	90305000	56.000000	0.000000
chr10	75400000	75405000	chr10	75290000	75295000	57.000000	0.000000
chr17	15405000	15410000	chr17	15160000	15165000	42.000000	0.000000
chr3	47825000	47830000	chr3	47560000	47565000	41.000000	0.000000
chr12	50445000	50450000	chr12	50360000	50365000	59.000000	0.000000
chr2	121830000	121835000	chr2	121450000	121455000	37.000000	0.000000
chr8	29870000	29875000	chr8	29195000	29200000	32.000000	0.000000
chr11	65350000	65355000	chr11	65345000	65350000	204.000000	0.000000
chr11	62785000	62790000	chr11	62670000	62675000	54.000000	0.000000
chr2	46685000	46690000	chr2	46215000	46220000	39.000000	0.000000
chr19	14460000	14465000	chr19	14305000	14310000	49.000000	0.000000
chr19	13200000	13205000	chr19	13085000	13090000	47.000000	0.000000
chr11	65275000	65280000	chr11	65130000	65135000	51.000000	0.000000
chr18	56730000	56735000	chr18	56440000	56445000	39.000000	0.000000
chr19	50360000	50365000	chr19	50355000	50360000	166.000000	0.000000
